40 4
1 2 37
1 3 17
1 4 55
1 5 29
1 6 39
1 7 96
1 8 38
1 9 20
1 10 18
1 11 21
1 12 3
1 13 63
1 14 92
1 15 44
1 16 15
1 17 10
1 18 12
1 19 62
1 20 56
1 21 17
1 22 42
1 23 11
1 24 93
1 25 72
1 26 44
1 27 11
1 28 93
1 29 75
1 30 40
1 31 19
1 32 87
1 33 10
1 34 65
1 35 37
1 36 0
1 37 80
1 38 28
1 39 12
1 40 28
2 3 6
2 4 51
2 5 22
2 6 85
2 7 17
2 8 36
2 9 67
2 10 71
2 11 97
2 12 98
2 13 12
2 14 73
2 15 95
2 16 35
2 17 16
2 18 43
2 19 22
2 20 94
2 21 44
2 22 97
2 23 15
2 24 41
2 25 27
2 26 28
2 27 49
2 28 82
2 29 86
2 30 27
2 31 30
2 32 66
2 33 55
2 34 16
2 35 56
2 36 20
2 37 72
2 38 9
2 39 35
2 40 63
3 4 26
3 5 42
3 6 2
3 7 20
3 8 54
3 9 35
3 10 56
3 11 80
3 12 28
3 13 53
3 14 76
3 15 46
3 16 44
3 17 34
3 18 24
3 19 69
3 20 91
3 21 34
3 22 68
3 23 75
3 24 20
3 25 88
3 26 68
3 27 59
3 28 31
3 29 5
3 30 78
3 31 63
3 32 66
3 33 50
3 34 19
3 35 26
3 36 100
3 37 11
3 38 31
3 39 5
3 40 43
4 5 86
4 6 11
4 7 86
4 8 19
4 9 5
4 10 52
4 11 74
4 12 42
4 13 77
4 14 37
4 15 20
4 16 80
4 17 57
4 18 5
4 19 8
4 20 78
4 21 5
4 22 88
4 23 48
4 24 68
4 25 30
4 26 6
4 27 87
4 28 36
4 29 68
4 30 77
4 31 59
4 32 48
4 33 32
4 34 24
4 35 67
4 36 23
4 37 10
4 38 1
4 39 17
4 40 13
5 6 63
5 7 6
5 8 26
5 9 1
5 10 85
5 11 77
5 12 59
5 13 66
5 14 12
5 15 66
5 16 5
5 17 19
5 18 40
5 19 73
5 20 97
5 21 81
5 22 42
5 23 21
5 24 19
5 25 40
5 26 13
5 27 58
5 28 91
5 29 64
5 30 41
5 31 63
5 32 90
5 33 85
5 34 30
5 35 88
5 36 84
5 37 2
5 38 39
5 39 18
5 40 94
6 7 73
6 8 87
6 9 53
6 10 83
6 11 3
6 12 45
6 13 9
6 14 83
6 15 25
6 16 17
6 17 89
6 18 95
6 19 2
6 20 53
6 21 81
6 22 19
6 23 21
6 24 91
6 25 13
6 26 7
6 27 57
6 28 37
6 29 53
6 30 62
6 31 1
6 32 4
6 33 57
6 34 5
6 35 20
6 36 80
6 37 59
6 38 61
6 39 95
6 40 20
7 8 20
7 9 63
7 10 31
7 11 9
7 12 97
7 13 47
7 14 25
7 15 7
7 16 26
7 17 55
7 18 49
7 19 80
7 20 83
7 21 55
7 22 6
7 23 25
7 24 48
7 25 55
7 26 9
7 27 5
7 28 90
7 29 32
7 30 23
7 31 66
7 32 79
7 33 8
7 34 46
7 35 84
7 36 95
7 37 30
7 38 69
7 39 100
7 40 81
8 9 3
8 10 65
8 11 35
8 12 41
8 13 63
8 14 35
8 15 48
8 16 13
8 17 18
8 18 73
8 19 76
8 20 2
8 21 18
8 22 65
8 23 8
8 24 39
8 25 19
8 26 62
8 27 61
8 28 12
8 29 46
8 30 14
8 31 61
8 32 31
8 33 35
8 34 27
8 35 5
8 36 61
8 37 69
8 38 25
8 39 68
8 40 92
9 10 88
9 11 25
9 12 41
9 13 13
9 14 47
9 15 95
9 16 50
9 17 17
9 18 19
9 19 15
9 20 5
9 21 17
9 22 86
9 23 64
9 24 100
9 25 72
9 26 56
9 27 84
9 28 50
9 29 28
9 30 47
9 31 86
9 32 0
9 33 83
9 34 7
9 35 58
9 36 24
9 37 40
9 38 14
9 39 87
9 40 16
10 11 10
10 12 77
10 13 63
10 14 27
10 15 14
10 16 95
10 17 30
10 18 70
10 19 2
10 20 57
10 21 57
10 22 53
10 23 48
10 24 43
10 25 56
10 26 49
10 27 87
10 28 60
10 29 2
10 30 6
10 31 93
10 32 79
10 33 59
10 34 95
10 35 38
10 36 69
10 37 0
10 38 10
10 39 17
10 40 78
11 12 55
11 13 34
11 14 59
11 15 97
11 16 38
11 17 44
11 18 26
11 19 42
11 20 14
11 21 63
11 22 89
11 23 20
11 24 12
11 25 3
11 26 60
11 27 99
11 28 49
11 29 44
11 30 74
11 31 52
11 32 56
11 33 80
11 34 44
11 35 62
11 36 37
11 37 100
11 38 82
11 39 33
11 40 13
12 13 88
12 14 35
12 15 34
12 16 69
12 17 55
12 18 12
12 19 49
12 20 7
12 21 85
12 22 9
12 23 89
12 24 39
12 25 75
12 26 42
12 27 43
12 28 57
12 29 80
12 30 45
12 31 77
12 32 37
12 33 56
12 34 34
12 35 4
12 36 10
12 37 40
12 38 79
12 39 38
12 40 96
13 14 91
13 15 77
13 16 6
13 17 2
13 18 42
13 19 11
13 20 8
13 21 26
13 22 4
13 23 31
13 24 95
13 25 52
13 26 73
13 27 41
13 28 92
13 29 8
13 30 8
13 31 21
13 32 48
13 33 32
13 34 6
13 35 65
13 36 54
13 37 43
13 38 4
13 39 3
13 40 42
14 15 6
14 16 91
14 17 90
14 18 27
14 19 47
14 20 88
14 21 94
14 22 9
14 23 3
